cs_code;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_nb_pas;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
CVHU0013029956;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029987;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029993;;0;P;Face A;CSV00000000001;;;;;;;
CVEN0012002770;EN000012002770;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029990;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013259441;;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013029955;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029957;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013193478;;0;E;Face A;CSV00000000001;;;;;;;
CVBL0008027997;BL000008027997;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013029953;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029970;;0;P;Face A;CSV00000000001;;;;;;;
CVBL0008028045;BL000008028045;0;E;Face A;CSV00000000001;;;;;;;
CVEN0011946417;EN000011946417;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029981;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029992;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013348706;;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013029975;;0;P;Face A;CSV00000000001;;;;;;;
CVBL0008255514;BL000008255514;0;E;Face A;CSV00000000001;;;;;;;
CVBL0008028000;BL000008028000;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013030002;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029988;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029985;;0;P;Face A;CSV00000000001;;;;;;;
CVBL0008202713;BL000008202713;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013030006;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029984;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013030034;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029977;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013030008;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029959;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029971;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013030036;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029973;;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013030013;;0;E;Face A;CSV00000000001;;;;;;;
CVEN0012002776;EN000012002776;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013030033;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029963;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013030011;;0;P;Face A;CSV00000000001;;;;;;;
CVBL0008202712;BL000008202712;0;E;Face A;CSV00000000001;;;;;;;
CVBL0008028069;BL000008028069;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013029997;;0;P;Face A;CSV00000000001;;;;;;;
CVBL0008255516;BL000008255516;0;E;Face A;CSV00000000001;;;;;;;
CVBL0008255515;BL000008255515;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013029966;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029967;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029961;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013030004;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013030014;;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013029974;;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013030003;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013030035;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013030016;;0;P;Face A;CSV00000000001;;;;;;;
CVEN0011946422;EN000011946422;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029976;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013208513;;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013029978;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013029968;;0;P;Face A;CSV00000000001;;;;;;;
CVBL0008255513;BL000008255513;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013029962;;0;P;Face A;CSV00000000001;;;;;;;
OP000014550151;;4;C;Face A;OP000000003313;;;;;;;
OP000014551747;;1;C;Face A;OP000000003313;;;;;;;
OP000014647416;;1;C;Face A;OP000000003293;;;;;;;
OP000014647417;;2;C;Face A;OP000000003293;;;;;;;
OP000014647418;;3;C;Face A;OP000000003293;;;;;;;
OP000014647419;;4;C;Face A;OP000000003293;;;;;;;
OP000014647420;;5;C;Face A;OP000000003293;;;;;;;
OP000014647421;;6;C;Face A;OP000000003293;;;;;;;
OP000014647422;;1;C;Face A;OP000000003293;;;;;;;
OP000014647423;;2;C;Face A;OP000000003293;;;;;;;
OP000014647424;;3;C;Face A;OP000000003293;;;;;;;
OP000014647425;;4;C;Face A;OP000000003293;;;;;;;
OP000014647426;;5;C;Face A;OP000000003293;;;;;;;
OP000014647427;;6;C;Face A;OP000000003293;;;;;;;
OP000014647428;;1;C;Face A;OP000000003293;;;;;;;
OP000014647429;;2;C;Face A;OP000000003293;;;;;;;
OP000014647430;;3;C;Face A;OP000000003293;;;;;;;
OP000014647431;;4;C;Face A;OP000000003293;;;;;;;
OP000014647448;;5;C;Face A;OP000000003293;;;;;;;
OP000014647449;;6;C;Face A;OP000000003293;;;;;;;
OP000014647450;;1;C;Face A;OP000000003293;;;;;;;
OP000014647451;;2;C;Face A;OP000000003293;;;;;;;
OP000014647452;;3;C;Face A;OP000000003293;;;;;;;
OP000014647453;;4;C;Face A;OP000000003293;;;;;;;
OP000014647454;;5;C;Face A;OP000000003293;;;;;;;
OP000014647455;;6;C;Face A;OP000000003293;;;;;;;
OP000014647456;;1;C;Face A;OP000000003293;;;;;;;
OP000014647457;;2;C;Face A;OP000000003293;;;;;;;
OP000014647458;;3;C;Face A;OP000000003293;;;;;;;
OP000014647459;;4;C;Face A;OP000000003293;;;;;;;
OP000014647460;;5;C;Face A;OP000000003293;;;;;;;
OP000014647461;;6;C;Face A;OP000000003293;;;;;;;
TR000014125530;EN000012002774;23;E;Face A;TR000000005600;;;;;;;
TR000014125550;EN000012002771;3;E;Face A;TR000000005600;;;;;;;
TR000047543099;EN000012002776;4;E;Face A;TR000000005600;;;;;;;
TR000014125527;EN000012002774;20;E;Face A;TR000000005600;;;;;;;
TR000047551096;EN000012002769;3;E;Face A;TR000000005600;;;;;;;
TR000047551104;EN000012002769;11;E;Face A;TR000000005600;;;;;;;
TR000047551100;EN000012002769;7;E;Face A;TR000000005600;;;;;;;
TR000014124629;EN000012002772;1;E;Face A;TR000000005600;;;;;;;
TR000014124836;EN000012002774;1;E;Face A;TR000000005600;;;;;;;
TR000047551098;EN000012002769;5;E;Face A;TR000000005600;;;;;;;
TR000047543100;EN000012002776;5;E;Face A;TR000000005600;;;;;;;
TR000014124632;EN000012002772;4;E;Face A;TR000000005600;;;;;;;
TR000047562932;EN000012002774;12;E;Face A;TR000000005600;;;;;;;
TR000047562934;EN000012002774;14;E;Face A;TR000000005600;;;;;;;
TR000014124845;EN000012002774;10;E;Face A;TR000000005600;;;;;;;
TR000047551101;EN000012002769;8;E;Face A;TR000000005600;;;;;;;
TR000014125563;EN000012002775;4;E;Face A;TR000000005600;;;;;;;
TR000047543097;EN000012002776;2;E;Face A;TR000000005600;;;;;;;
TR000047562938;EN000012002774;19;E;Face A;TR000000005600;;;;;;;
TR000047551099;EN000012002769;6;E;Face A;TR000000005600;;;;;;;
TR000047551103;EN000012002769;10;E;Face A;TR000000005600;;;;;;;
TR000047543103;EN000012002776;8;E;Face A;TR000000005600;;;;;;;
TR000047564214;EN000012002773;2;E;Face A;TR000000005600;;;;;;;
TR000047562933;EN000012002774;13;E;Face A;TR000000005600;;;;;;;
TR000014124840;EN000012002774;5;E;Face A;TR000000005600;;;;;;;
TR000047551095;EN000012002769;2;E;Face A;TR000000005600;;;;;;;
TR000014124837;EN000012002774;2;E;Face A;TR000000005600;;;;;;;
TR000014125552;EN000012002771;5;E;Face A;TR000000005600;;;;;;;
TR000014125548;EN000012002771;1;E;Face A;TR000000005600;;;;;;;
TR000014124841;EN000012002774;6;E;Face A;TR000000005600;;;;;;;
TR000047562937;EN000012002774;18;E;Face A;TR000000005600;;;;;;;
TR000047543098;EN000012002776;3;E;Face A;TR000000005600;;;;;;;
TR000047562935;EN000012002774;15;E;Face A;TR000000005600;;;;;;;
TR000047566129;EN000011946419;7;E;Face A;TR000000005600;;;;;;;
TR000014124630;EN000012002772;2;E;Face A;TR000000005600;;;;;;;
TR000047551102;EN000012002769;9;E;Face A;TR000000005600;;;;;;;
TR000014125531;EN000012002774;24;E;Face A;TR000000005600;;;;;;;
TR000047562936;EN000012002774;17;E;Face A;TR000000005600;;;;;;;
TR000047564215;EN000012002773;3;E;Face A;TR000000005600;;;;;;;
TR000014124633;EN000012002772;5;E;Face A;TR000000005600;;;;;;;
TR000014124838;EN000012002774;3;E;Face A;TR000000005600;;;;;;;
TR000014125562;EN000012002775;3;E;Face A;TR000000005600;;;;;;;
TR000014125529;EN000012002774;22;E;Face A;TR000000005600;;;;;;;
TR000047551097;EN000012002769;4;E;Face A;TR000000005600;;;;;;;
TR000014124634;EN000012002772;6;E;Face A;TR000000005600;;;;;;;
TR000014125549;EN000012002771;2;E;Face A;TR000000005600;;;;;;;
TR000047543101;EN000012002776;6;E;Face A;TR000000005600;;;;;;;
TR000014125528;EN000012002774;21;E;Face A;TR000000005600;;;;;;;
TR000014124842;EN000012002774;7;E;Face A;TR000000005600;;;;;;;
TR000047566130;EN000011946419;8;E;Face A;TR000000005600;;;;;;;
TR000047543096;EN000012002776;1;E;Face A;TR000000005600;;;;;;;
TR000014124635;EN000012002772;7;E;Face A;TR000000005600;;;;;;;
TR000014124631;EN000012002772;3;E;Face A;TR000000005600;;;;;;;
TR000014125553;EN000012002771;6;E;Face A;TR000000005600;;;;;;;
TR000014124844;EN000012002774;9;E;Face A;TR000000005600;;;;;;;
TR000047564213;EN000012002773;1;E;Face A;TR000000005600;;;;;;;
TR000014125560;EN000012002775;1;E;Face A;TR000000005600;;;;;;;
TR000014125551;EN000012002771;4;E;Face A;TR000000005600;;;;;;;
TR000014124846;EN000012002774;11;E;Face A;TR000000005600;;;;;;;
TR000014125533;EN000012002774;26;E;Face A;TR000000005600;;;;;;;
TR000014125532;EN000012002774;25;E;Face A;TR000000005600;;;;;;;
TR000047551094;EN000012002769;1;E;Face A;TR000000005600;;;;;;;
TR000014125561;EN000012002775;2;E;Face A;TR000000005600;;;;;;;
TR000014124636;EN000012002772;8;E;Face A;TR000000005600;;;;;;;
TR000014125523;EN000012002774;16;E;Face A;TR000000005600;;;;;;;
TR000047543102;EN000012002776;7;E;Face A;TR000000005600;;;;;;;
TR000014126005;BL000008028042;1;E;Face A;TR000000005600;;;;;;;
TR000014125873;BL000008027990;1;E;Face A;TR000000005601;;;;;;;
TR000014125941;BL000008028034;1;E;Face A;TR000000005600;;;;;;;
TR000014125961;BL000008028039;1;E;Face A;TR000000005600;;;;;;;
TR000014126109;BL000008028098;1;E;Face A;TR000000005601;;;;;;;
TR000014123647;BL000008026079;1;E;Face A;TR000000005600;;;;;;;
TR000014126083;BL000008028046;1;E;Face A;TR000000005600;;;;;;;
TR000014125949;BL000008028036;1;E;Face A;TR000000005600;;;;;;;
TR000014125833;BL000008027986;1;E;Face A;TR000000005601;;;;;;;
TR000014125891;BL000008028023;1;E;Face A;TR000000005600;;;;;;;
TR000014125875;BL000008027991;1;E;Face A;TR000000005601;;;;;;;
TR000014126043;BL000008028071;1;E;Face A;TR000000005600;;;;;;;
TR000014125901;BL000008028027;1;E;Face A;TR000000005600;;;;;;;
TR000014125841;BL000008028017;1;E;Face A;TR000000005600;;;;;;;
TR000014126061;BL000008027998;1;E;Face A;TR000000005600;;;;;;;
TR000014125857;BL000008026394;1;E;Face A;TR000000005601;;;;;;;
TR000014125837;BL000008027988;1;E;Face A;TR000000005601;;;;;;;
TR000014125181;BL000008027671;1;E;Face A;TR000000005600;;;;;;;
TR000014125179;BL000008027670;1;E;Face A;TR000000005601;;;;;;;
TR000014126001;BL000008028041;1;E;Face A;TR000000005600;;;;;;;
TR000014126049;BL000008027995;1;E;Face A;TR000000005600;;;;;;;
TR000014125965;BL000008028040;1;E;Face A;TR000000005600;;;;;;;
TR000014125899;BL000008028026;1;E;Face A;TR000000005601;;;;;;;
TR000014125839;BL000008027989;1;E;Face A;TR000000005601;;;;;;;
TR000014126013;BL000008028044;1;E;Face A;TR000000005600;;;;;;;
TR000014125989;BL000008028065;1;E;Face A;TR000000005600;;;;;;;
TR000014125881;BL000008027993;1;E;Face A;TR000000005600;;;;;;;
TR000014126097;BL000008027999;1;E;Face A;TR000000005600;;;;;;;
TR000014126089;BL000008028048;1;E;Face A;TR000000005601;;;;;;;
TR000014125827;BL000008026080;1;E;Face A;TR000000005600;;;;;;;
TR000014125954;BL000008028037;2;E;Face A;TR000000005600;;;;;;;
TR000014126067;BL000008028073;1;E;Face A;TR000000005600;;;;;;;
TR000014126087;BL000008028047;1;E;Face A;TR000000005601;;;;;;;
TR000014125845;BL000008028018;1;E;Face A;TR000000005600;;;;;;;
TR000014126075;BL000008028075;1;E;Face A;TR000000005600;;;;;;;
TR000014125973;BL000008028029;1;E;Face A;TR000000005600;;;;;;;
TR000014126039;BL000008028070;1;E;Face A;TR000000005600;;;;;;;
TR000014125835;BL000008027987;1;E;Face A;TR000000005601;;;;;;;
TR000014125861;BL000008026396;1;E;Face A;TR000000005600;;;;;;;
TR000014125945;BL000008028035;1;E;Face A;TR000000005600;;;;;;;
TR000014125853;BL000008028021;1;E;Face A;TR000000005601;;;;;;;
TR000014125859;BL000008026395;1;E;Face A;TR000000005601;;;;;;;
TR000014126071;BL000008028074;1;E;Face A;TR000000005600;;;;;;;
TR000014125851;BL000008028020;1;E;Face A;TR000000005601;;;;;;;
TR000014126113;BL000008027672;1;E;Face A;TR000000005600;;;;;;;
TR000014126105;BL000008028097;1;E;Face A;TR000000005600;;;;;;;
TR000014125969;BL000008028028;1;E;Face A;TR000000005600;;;;;;;
TR000014125999;BL000008028068;1;E;Face A;TR000000005600;;;;;;;
TR000014125957;BL000008028038;1;E;Face A;TR000000005600;;;;;;;
TR000014125855;BL000008028022;1;E;Face A;TR000000005600;;;;;;;
TR000014125993;BL000008028066;1;E;Face A;TR000000005601;;;;;;;
TR000014125877;BL000008027992;1;E;Face A;TR000000005600;;;;;;;
TR000014126009;BL000008028043;1;E;Face A;TR000000005600;;;;;;;
TR000014125981;BL000008028031;1;E;Face A;TR000000005600;;;;;;;
TR000014125849;BL000008028019;1;E;Face A;TR000000005601;;;;;;;
TR000014125885;BL000008027994;1;E;Face A;TR000000005600;;;;;;;
TR000014125897;BL000008028025;1;E;Face A;TR000000005601;;;;;;;
TR000014125831;BL000008027985;1;E;Face A;TR000000005601;;;;;;;
TR000014125175;BL000008027669;1;E;Face A;TR000000005600;;;;;;;
TR000014125937;BL000008028033;1;E;Face A;TR000000005600;;;;;;;
TR000014125977;BL000008028030;1;E;Face A;TR000000005600;;;;;;;
TR000014125895;BL000008028024;1;E;Face A;TR000000005601;;;;;;;
TR000014126053;BL000008027996;1;E;Face A;TR000000005600;;;;;;;
TR000014126047;BL000008028072;1;E;Face A;TR000000005600;;;;;;;
TR000014125985;BL000008028032;1;E;Face A;TR000000005600;;;;;;;
TR000014125953;BL000008028037;1;E;Face A;TR000000005600;;;;;;;
TR000014125995;BL000008028067;1;E;Face A;TR000000005600;;;;;;;
TR000014126091;BL000008028081;1;E;Face A;TR000000005601;;;;;;;
TR000014125982;BL000008028031;2;E;Face A;TR000000005600;;;;;;;
CVFI1016282516;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282516;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282551;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282551;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282575;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282575;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282522;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282522;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282570;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282570;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016918439;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016918439;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016918437;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016918437;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282521;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282521;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016481458;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016481458;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282566;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282566;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016560084;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016560084;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282576;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282576;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282507;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282507;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282514;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282514;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016178978;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016178978;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282591;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282591;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282568;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282568;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282583;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282583;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282552;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282552;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016178983;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016178983;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282508;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282508;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282515;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282515;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282550;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282550;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282519;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282519;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282586;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282586;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282500;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282500;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282582;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282582;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282569;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282569;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282578;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282578;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282554;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282554;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282548;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282548;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282506;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282506;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282555;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282555;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282556;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282556;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282577;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282577;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016178977;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016178977;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282545;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282545;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282505;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282505;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016176358;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016176358;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282517;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282517;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282558;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282558;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282502;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282502;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282498;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282498;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282501;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282501;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282511;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282511;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282592;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282592;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016560083;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016560083;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282525;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282525;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282585;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282585;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282499;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282499;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282527;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282527;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282528;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282528;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282513;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282513;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282565;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282565;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282524;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282524;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282587;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282587;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282584;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282584;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016494785;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016494785;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016918438;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016918438;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282553;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282553;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282574;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282574;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282518;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282518;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282562;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282562;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282497;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282497;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282520;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282520;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282589;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282589;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282504;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282504;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282546;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282546;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282573;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282573;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282588;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282588;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282563;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282563;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1017833046;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2017833046;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1017833047;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2017833047;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016560081;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016560081;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282509;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282509;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282503;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282503;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282557;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282557;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282523;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282523;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282549;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282549;;0;P;Face A;CSV00000000001;;;;;;;
CVFI1016282547;;0;P;Face A;CSV00000000001;;;;;;;
CVFI2016282547;;0;P;Face A;CSV00000000001;;;;;;;
